CODIGO;DENOMINACION;TIPOELEM;VIDRIO;ACABADO
PAV.0706.L.C;PUERTA PA MONT PLEGAB LACADO CORTEN + VIDRIO GRIS;PLEGAB;GRIS;LACADO CORTEN
PAV.0706.C.RB;PUERTA PA MONT PLEGAB CHAPA ROBLE + VIDRIO GRIS;PLEGAB;GRIS;CHAPA ROBLE
PAV.0706.C.NG;PUERTA PA MONT PLEGAB CHAPA NOGAL + VIDRIO GRIS;PLEGAB;GRIS;CHAPA NOGAL
PAV.0705.L.BM03;PUERTA PA MONT PLEGAB LACA BLANCO MAT 9003 + VIDRIO GRIS OSCURO;PLEGAB;GRIS OSCURO;LACA BLANCO MAT 9003
PAV.0705.L.NMT;PUERTA PA MONT PLEGAB LACA NEGRO MATE TEXT + VIDRIO GRIS OSCURO;PLEGAB;GRIS OSCURO;LACA NEGRO MATE TEXT
PAV.0705.L.C;PUERTA PA MONT PLEGAB LACADO CORTEN + VIDRIO GRIS OSCURO;PLEGAB;GRIS OSCURO;LACADO CORTEN
PAV.0705.C.RB;PUERTA PA MONT PLEGAB CHAPA ROBLE + VIDRIO GRIS OSCURO;PLEGAB;GRIS OSCURO;CHAPA ROBLE
PAV.0705.C.NG;PUERTA PA MONT PLEGAB CHAPA NOGAL + VIDRIO GRIS OSCURO;PLEGAB;GRIS OSCURO;CHAPA NOGAL
;;;;
PAV.MA01.L.BM03;SET EMBELLEC 13X3 PA MONT MODEL A LACA BLANCO MAT 9003;MODEL A;;LACA BLANCO MAT 9003
PAV.MA01.L.NMT;SET EMBELLEC 13X3 PA MONT MODEL A LACA NEGRO MATE TEXT;MODEL A;;LACA NEGRO MATE TEXT
PAV.MA01.L.C;SET EMBELLEC 13X3 PA MONT MODEL A LACADO CORTEN;MODEL A;;LACADO CORTEN
PAV.MA01.C.RB;SET EMBELLEC 13X3 PA MONT MODEL A CHAPA ROBLE;MODEL A;;CHAPA ROBLE
PAV.MA01.C.NG;SET EMBELLEC 13X3 PA MONT MODEL A CHAPA NOGAL;MODEL A;;CHAPA NOGAL
PAV.MB01.L.BM03;SET EMBELLEC 13X3 PA MONT MODEL B LACA BLANCO MAT 9003;MODEL B;;LACA BLANCO MAT 9003
PAV.MB01.L.NMT;SET EMBELLEC 13X3 PA MONT MODEL B LACA NEGRO MATE TEXT;MODEL B;;LACA NEGRO MATE TEXT
PAV.MB01.L.C;SET EMBELLEC 13X3 PA MONT MODEL B LACADO CORTEN;MODEL B;;LACADO CORTEN
PAV.MB01.C.RB;SET EMBELLEC 13X3 PA MONT MODEL B CHAPA ROBLE;MODEL B;;CHAPA ROBLE
PAV.MB01.C.NG;SET EMBELLEC 13X3 PA MONT MODEL B CHAPA NOGAL;MODEL B;;CHAPA NOGAL
PAV.MC01.L.BM03;SET EMBELLEC 13X3 PA MONT MODEL C LACA BLANCO MAT 9003;MODEL C;;LACA BLANCO MAT 9003
PAV.MC01.L.NMT;SET EMBELLEC 13X3 PA MONT MODEL C LACA NEGRO MATE TEXT;MODEL C;;LACA NEGRO MATE TEXT
PAV.MC01.L.C;SET EMBELLEC 13X3 PA MONT MODEL C LACADO CORTEN;MODEL C;;LACADO CORTEN
PAV.MC01.C.RB;SET EMBELLEC 13X3 PA MONT MODEL C CHAPA ROBLE;MODEL C;;CHAPA ROBLE
PAV.MC01.C.NG;SET EMBELLEC 13X3 PA MONT MODEL C CHAPA NOGAL;MODEL C;;CHAPA NOGAL
PAV.MD01.L.BM03;SET EMBELLEC 13X3 PA MONT MODEL D LACA BLANCO MAT 9003;MODEL D;;LACA BLANCO MAT 9003
PAV.MD01.L.NMT;SET EMBELLEC 13X3 PA MONT MODEL D LACA NEGRO MATE TEXT;MODEL D;;LACA NEGRO MATE TEXT
PAV.MD01.L.C;SET EMBELLEC 13X3 PA MONT MODEL D LACADO CORTEN;MODEL D;;LACADO CORTEN
PAV.MD01.C.RB;SET EMBELLEC 13X3 PA MONT MODEL D CHAPA ROBLE;MODEL D;;CHAPA ROBLE
PAV.MD01.C.NG;SET EMBELLEC 13X3 PA MONT MODEL D CHAPA NOGAL;MODEL D;;CHAPA NOGAL
